Name of State / UT,Latitude,Longitude
Andhra Pradesh,15.9129,79.74
Chandigarh,30.7333,76.7794
Chhattisgarh,21.2787,81.8661
Delhi,28.7041,77.1025
Gujarat,22.2587,71.1924
Haryana,29.0588,76.0856
Himachal Pradesh,31.1048,77.1734
Jammu and Kashmir,33.7782,76.5762
Karnataka,15.3173,75.7139
Kerala,10.8505,76.2711
Ladakh,34.2996,78.2932
Madhya Pradesh,22.9734,78.6569
Maharashtra,19.7515,75.7139
Odisha,20.9517,85.0985
Puducherry,11.9416,79.8083
Punjab,31.1471,75.3412
Rajasthan,27.0238,74.2179
Tamil Nadu,11.1271,78.6569
Telengana,18.1124,79.0193
Uttar Pradesh,26.8467,80.9462
Uttarakhand,30.0688,79.0193
West Bengal,22.9868,87.855
